Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_24_690.jpg;0;1;0;0.7587069;99.9686;85.83225;1.207832;39.2751;-0.0008279709
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_24_757.jpg;0;1;0;0.8128592;100.0188;85.87304;1.190771;39.22574;0.0006099396
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_24_823.jpg;0;1;0;0.8563718;100.0594;85.90588;1.202401;39.15374;-0.0003423319
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_24_890.jpg;0;1;0;0.9150416;100.1025;85.94071;1.215621;39.21005;-0.001283511
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_24_956.jpg;0;1;0;0.970764;100.1479;85.97746;1.22674;39.19953;-0.000655368
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_023.jpg;0;1;0;1.018973;100.2117;86.02912;1.222768;39.19061;-0.0006747415
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_089.jpg;0;1;0;1.066962;100.2621;86.06991;1.218797;39.18967;-0.0002253939
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_155.jpg;0;1;0;1.12806;100.3147;86.11243;1.218355;39.13272;-0.0004634904
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_222.jpg;0;1;0;1.173674;100.3883;86.17191;1.226578;39.08603;-0.0007258739
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_288.jpg;0;1;0;1.217773;100.4461;86.21851;1.230617;39.05296;-0.0006793336
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_355.jpg;1.498502;1;0;1.28183;100.506;86.26695;1.232248;39.0533;-0.0007265693
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_421.jpg;4.495095;1;0;1.329742;100.588;86.33581;1.236075;39.42284;-0.003049268
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_488.jpg;7.478326;1;0;1.378351;100.6505;86.39124;1.233372;39.99207;0.003016761
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_554.jpg;10.46673;1;0;1.437813;100.7135;86.45025;1.230872;40.82019;0.02483011
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_621.jpg;13.4613;1;0;1.481299;100.7969;86.53461;1.202096;42.3854;0.07028852
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_687.jpg;15;1;0;1.524232;100.8586;86.60215;1.146531;43.82569;0.1130929
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_753.jpg;15;1;0;1.583131;100.92;86.67336;1.088199;45.33214;0.1680298
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_820.jpg;13.50078;1;0;1.627302;101.002;86.77343;1.006132;47.32151;0.2361279
/Users/anantakumarroy/RoboND-Rover-Project/IMG/robocam_2017_12_23_14_26_25_886.jpg;10.51103;1;0;1.673804;101.0649;86.85185;0.9587686;48.57198;0.262516
